ID,AmE_wordform,BrE_wordform,DE_wordform,EP_wordform,ES_wordform,PoS (all),NLD_orthg_AmE_BrE,NLD_orthg_AmE_DE,NLD_orthg_AmE_EP,NLD_orthg_AmE_ES,NLD_orthg_BrE_DE,NLD_orthg_BrE_EP,NLD_orthg_BrE_ES,NLD_orthg_DE_EP,NLD_orthg_DE_ES,NLD_orthg_EP_ES,NLD_phonoL_AmE_BrE,NLD_phonoL_AmE_DE,NLD_phonoL_AmE_EP,NLD_phonoL_AmE_ES,NLD_phonoL_BrE_DE,NLD_phonoL_BrE_EP,NLD_phonoL_BrE_ES,NLD_phonoL_DE_EP,NLD_phonoL_DE_ES,NLD_phonoL_EP_ES,NLD_phonoG_AmE_BrE,NLD_phonoG_AmE_DE,NLD_phonoG_AmE_EP,NLD_phonoG_AmE_ES,NLD_phonoG_BrE_DE,NLD_phonoG_BrE_EP,NLD_phonoG_BrE_ES,NLD_phonoG_DE_EP,NLD_phonoG_DE_ES,NLD_phonoG_EP_ES,AmE_wordform,LEN_orth_AmE,phonetic_t_AmE,LEN_phon_AmE,ANC_abs,ANC_mln,ANC_log10(abs+1),ANC_abs_annotated,ANC_mln_annotated,ANC_log10(abs+1)_annotated,SpecPoS_annotated_ANC,SubtlexUS_abs,SubtlexUS_mln,SubtlexUS_log10(abs+1),SubtlexUS_zipf,BrE_wordform,LEN_orth_BrE,phonetic_t_BrE,LEN_phon_BrE,Celex_abs,Celex_mln,Celex_log10(abs+1),Celex_abs_annotated,Celex_mln_annotated,Celex_log10(abs+1)_annotated,SpecPoS_annotated_Celex,SubtlexUK_abs,SubtlexUK_mln,SubtlexUK_log10(abs+1),SubtlexUK_zipf,DE_wordform,LEN_orth_DE,phonetic_t_DE,LEN_phon_DE,dlexDB_abs,dlexDB_mln,dlexDB_log10(abs+1),dlexDB_abs_annotated,dlexDB_mln_annotated,dlexDB_log10(abs+1)_annotated,SpecPoS_annotated_dlexDB,SubtlexDE_abs,SubtlexDE_mln,SubtlexDE_log10(abs+1),EP_wordform,EP_OA (1990),LEN_orth_EP,phonetic_t_EP,LEN_phon_EP,P-Pal_abs,P-PAL_mln,P-Pal_log10(abs+1),P-Pal_abs_annotated,P-Pal_mln_annotated,P-Pal_log10(abs+1)_annotated,SpecPoS_annotated_P-Pal,SubtlexPT_abs,SubtlexPT_mln,SubtlexPT_log10(abs+1),SubtlexPT_zipf,ES_wordform,LEN_orth_ES,phonetic_t_ES,LEN_phon_ES,Espal_abs,Espal_mln,Espal_log10(abs+1),Espal_abs_annotated,Espal_mln_annotated,Espal_log10(abs+1)_annotated,SpecPoS_annotated_Espal,SubtlexES_abs,SubtlexES_mln,Subtlex_ES_log10(abs+1),
1,abbot,abbot,Abt,abade,abad,N,1.000,0.600,0.400,0.400,0.600,0.400,0.400,0.400,0.500,0.800,1.000,0.725,0.525,0.682,0.725,0.525,0.682,0.393,0.547,0.755,1.000,0.661,0.461,0.534,0.661,0.461,0.534,0.396,0.523,0.777,abbot,5,ˈæbət,4,43,1.921,1.643,16,0.715,1.230,,43,0.843,1.643,2.935,abbot,5,ˈæbət,4,34,1.899,1.544,34,1.899,1.544,,320,1.589,2.507,3.202,Abt,3,apt,3,599,4.897,2.778,383,3.131,2.584,,51,2.008,1.716,abade,,5,ɐβaðɨ,5,811,3.962,2.910,811,3.962,2.910,,227,2.910,2.358,3.464,abad,4,aβað,4,4016,13.050,3.604,2081,6.762,3.318,,48,1.154,1.690,
2,aberration,aberration,Aberration,aberração,aberración,N,1.000,1.000,0.700,0.800,1.000,0.700,0.800,0.700,0.800,0.600,1.000,0.636,0.617,0.650,0.636,0.617,0.650,0.586,0.808,0.612,1.000,0.809,0.658,0.724,0.809,0.658,0.724,0.642,0.804,0.606,aberration,10,æbəˈɹ̠eɪʃən,9,19,0.849,1.301,18,0.804,1.279,,28,0.549,1.462,2.754,aberration,10,æbəˈɹ̠eɪʃən,9,32,1.788,1.519,32,1.788,1.519,,71,0.353,1.857,2.553,Aberration,10,abɛʁaʦjo:n,9,36,0.294,1.568,36,0.294,1.568,,NA,NA,NA,aberração,,9,ɐβɨʁɐsɐ̃w,8,409,1.998,2.613,409,1.998,2.613,,576,7.383,2.761,3.868,aberración,10,aβeraθjon,9,488,1.586,2.689,475,1.544,2.678,,38,0.913,1.591,
3,abide,abide,befolgen,acatar,acatar,V,1.000,0.125,0.167,0.167,0.125,0.167,0.167,0.000,0.000,1.000,1.000,0.383,0.500,0.473,0.383,0.500,0.473,0.464,0.416,0.925,1.000,0.247,0.323,0.311,0.247,0.323,0.311,0.210,0.190,0.962,abide,5,əˈbaɪd,5,58,2.590,1.771,58,2.590,1.771,,138,2.706,2.143,3.435,abide,5,əˈbaɪd,5,68,3.799,1.839,68,3.799,1.839,,571,2.836,2.757,3.453,befolgen,8,bəfɔlɡən,8,512,4.186,2.710,489,3.998,2.690,,234,9.213,2.371,acatar,,6,ɐkɐtaɾ,6,513,2.506,2.711,513,2.506,2.711,,57,0.731,1.763,2.864,acatar,6,akataɾ,6,955,3.103,2.980,946,3.074,2.976,,29,0.697,1.477,
4,ability,ability,Fähigkeit,habilidade,habilidad,N,1.000,0.222,0.500,0.556,0.222,0.500,0.556,0.100,0.111,0.900,0.937,0.286,0.642,0.652,0.329,0.618,0.629,0.338,0.381,0.864,0.968,0.253,0.569,0.603,0.274,0.558,0.592,0.213,0.239,0.882,ability,7,əˈbɪɫɪɾi,7,2506,111.925,3.399,2493,111.344,3.397,,980,19.216,2.992,4.284,ability,7,əˈbɪlɪtɪ,7,1361,76.034,3.134,1361,76.034,3.134,,8807,43.743,3.945,4.641,Fähigkeit,9,fɛ:ɪçkaɪt,8,3409,27.869,3.533,3409,27.869,3.533,,660,25.985,2.820,habilidade,,10,ɐβiɫiðaðɨ,9,1408,6.879,3.149,1408,6.879,3.149,,1433,18.367,3.157,4.264,habilidad,9,aβiliðað,8,8820,28.661,3.946,8691,28.241,3.939,,1219,29.303,3.086,
5,abnegation,abnegation,Verleugnung,abnegação,abnegación,N,1.000,0.091,0.700,0.800,0.091,0.700,0.800,0.182,0.091,0.600,1.000,0.462,0.703,0.693,0.462,0.703,0.693,0.347,0.431,0.714,1.000,0.263,0.702,0.746,0.263,0.702,0.746,0.262,0.249,0.656,abnegation,10,æbnɪˈɡeɪʃən,10,2,0.089,0.477,2,0.089,0.477,,NA,NA,NA,NA,abnegation,10,æbnɪˈɡeɪʃən,10,2,0.112,0.477,2,0.112,0.477,,4,0.020,0.699,1.395,Verleugnung,11,fɐlɔʏɡnʊŋ,9,126,1.030,2.104,126,1.030,2.104,,17,0.669,1.255,abnegação,,9,ɐβnɨγɐsɐ̃w,9,261,1.275,2.418,261,1.275,2.418,,17,0.218,1.255,2.338,abnegación,10,aβneγaθjon,10,818,2.658,2.913,810,2.632,2.909,,9,0.216,1.000,
6,abolishment,abolishment,Abschaffung,abolição,abolición,N,1.000,0.273,0.455,0.545,0.273,0.455,0.545,0.182,0.273,0.556,1.000,0.479,0.569,0.641,0.479,0.569,0.641,0.481,0.549,0.716,1.000,0.372,0.511,0.592,0.372,0.511,0.592,0.323,0.404,0.634,abolishment,11,əˈbɑɫɪʃmənt,10,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,abolishment,11,əˈbɒlɪʃmənt,10,NA,NA,NA,NA,NA,NA,,5,0.025,0.778,1.474,Abschaffung,11,apʃafʊŋ,7,1201,9.818,3.080,1201,9.818,3.080,,12,0.472,1.114,abolição,,8,ɐβuɫisɐ̃w,8,2211,10.802,3.345,2211,10.802,3.345,,26,0.333,1.431,2.523,abolición,9,aβoliθjon,9,2897,9.414,3.462,2618,8.507,3.418,,NA,NA,NA,
7,abominable,abominable,abscheulich,abominável,abominable,ADJ,1.000,0.182,0.600,1.000,0.182,0.600,1.000,0.182,0.182,0.600,1.000,0.462,0.766,0.594,0.462,0.766,0.594,0.454,0.415,0.748,1.000,0.314,0.681,0.785,0.314,0.681,0.785,0.311,0.293,0.672,abominable,10,əˈbɑmɪnəbəɫ,10,12,0.536,1.114,12,0.536,1.114,,32,0.627,1.519,2.810,abominable,10,əˈbɒmɪnəbəɫ,10,43,2.402,1.643,43,2.402,1.643,,119,0.591,2.079,2.775,abscheulich,11,apʃɔʏlɪç,8,204,1.668,2.312,204,1.668,2.312,,100,3.937,2.004,abominável,,10,ɐβuminavɛɫ,10,211,1.031,2.326,211,1.031,2.326,,144,1.846,2.161,3.266,abominable,10,aβominaβle,10,816,2.652,2.912,767,2.492,2.885,,49,1.178,1.699,
8,abortion,abortion,Abtreibung,aborto,aborto,N,1.000,0.500,0.750,0.750,0.500,0.750,0.750,0.300,0.300,1.000,0.829,0.465,0.590,0.586,0.441,0.476,0.450,0.416,0.444,0.929,0.912,0.482,0.668,0.666,0.470,0.607,0.593,0.357,0.370,0.964,abortion,8,əˈbɔɹ̠ʃən,7,687,30.683,2.838,651,29.075,2.814,,369,7.235,2.568,3.860,abortion,8,əˈbɔ:ʃən,6,290,16.201,2.464,290,16.201,2.464,,1175,5.836,3.070,3.766,Abtreibung,10,aptʁaɪbʊŋ,9,362,2.959,2.560,362,2.959,2.560,,112,4.410,2.053,aborto,,6,ɐβoɾtu,6,8307,40.583,3.919,8263,40.368,3.917,,737,9.446,2.868,3.975,aborto,6,aβoɾto,6,2711,8.809,3.433,1394,4.530,3.145,,324,7.788,2.512,
9,absence,absence,Abwesenheit,ausência,ausencia,N,1.000,0.545,0.500,0.625,0.545,0.500,0.625,0.364,0.455,0.875,1.000,0.550,0.604,0.610,0.550,0.604,0.610,0.529,0.564,0.835,1.000,0.547,0.551,0.617,0.547,0.551,0.617,0.444,0.508,0.855,absence,7,ˈæbsəns,6,1460,65.208,3.165,1441,64.359,3.159,,322,6.314,2.509,3.801,absence,7,ˈæbsəns,6,721,40.279,2.859,721,40.279,2.859,,1558,7.738,3.193,3.889,Abwesenheit,11,apve:zənhaɪt,11,1377,11.257,3.139,1377,11.257,3.139,,145,5.709,2.164,ausência,,8,awzẽsjɐ,7,18628,91.004,4.270,18628,91.004,4.270,,836,10.715,2.923,4.030,ausencia,8,aws̺enθja,8,16416,53.344,4.215,15146,49.217,4.180,,434,10.433,2.638,
10,abstinence,abstinence,Abstinenz,abstinência,abstinencia,N,1.000,0.800,0.727,0.818,0.800,0.727,0.818,0.636,0.727,0.909,1.000,0.926,0.719,0.730,0.926,0.719,0.730,0.713,0.736,0.850,1.000,0.862,0.723,0.774,0.862,0.723,0.774,0.674,0.732,0.879,abstinence,10,ˈæbstɪnəns,9,66,2.948,1.826,55,2.456,1.748,,45,0.882,1.663,2.955,abstinence,10,ˈæbstɪnəns,9,38,2.123,1.591,38,2.123,1.591,,119,0.591,2.079,2.775,Abstinenz,9,apstinɛnʦ,9,107,0.875,2.033,107,0.875,2.033,,5,0.197,0.778,abstinência,,11,ɐβʃtinẽsjɐ,10,334,1.632,2.525,334,1.632,2.525,,183,2.346,2.265,3.370,abstinencia,11,aβs̺tinenθja,11,748,2.431,2.874,740,2.405,2.870,,148,3.558,2.173,
